total_timesteps,fps,nupdates,policy_entropy,value_loss,explained_variance,ep_reward_mean,ep_len_mean
5,1,1,1.7917592525482178,0.00345340883359313,-59.229515075683594,,
500,24,100,1.7917588949203491,0.00014925813593436033,-58.82670974731445,,
1000,26,200,1.7917588949203491,0.0032532319892197847,-375.86090087890625,-5.0,621.0
1500,26,300,1.7917587757110596,0.0003444215399213135,-323.36309814453125,-5.0,627.0
2000,27,400,1.7917530536651611,0.000184996344614774,-43.566349029541016,-5.0,589.6666666666666
2500,26,500,1.7917490005493164,0.002431988250464201,-23.236072540283203,-5.0,578.75
3000,27,600,1.7917406558990479,0.5880084037780762,-0.04748821258544922,-5.0,543.4
3500,27,700,1.7916682958602905,0.0005042112898081541,-5.272626876831055,-5.0,565.8333333333334
4000,27,800,1.7914308309555054,0.00105232372879982,-3.8615283966064453,-5.0,546.8571428571429
4500,26,900,1.7914409637451172,0.0005021325778216124,-29.679582595825195,-5.0,546.8571428571429
5000,27,1000,1.7910579442977905,0.0003084781928919256,-303.81109619140625,-5.0,570.5
5500,27,1100,1.7905890941619873,0.000344582338584587,-5.5563273429870605,-5.0,566.5555555555555
6000,27,1200,1.7882626056671143,0.0037257280200719833,0.5471743643283844,-5.0,558.7
6500,27,1300,1.7882270812988281,0.00030187363154254854,-2.570053815841675,-5.0,548.3636363636364
7000,27,1400,1.7891238927841187,0.0014481190592050552,-16.282377243041992,-5.0,549.0
7500,27,1500,1.7906410694122314,0.0029928269796073437,-63.86212921142578,-5.0,545.0769230769231
8000,27,1600,1.7874456644058228,0.00019809111836366355,-3.413832664489746,-4.928571428571429,549.8571428571429
8500,27,1700,1.7838494777679443,0.00016666778537910432,-0.11971211433410645,-4.933333333333334,550.6
9000,27,1800,1.7901380062103271,5.697306551155634e-05,-0.3774937391281128,-4.9375,550.125
9500,27,1900,1.7753980159759521,0.0006692400202155113,-0.01163780689239502,-4.9411764705882355,547.0588235294117
10000,27,2000,1.7883707284927368,0.0011662731412798166,-1.765817642211914,-4.944444444444445,546.5555555555555
10500,27,2100,1.786097526550293,0.0023104106076061726,-22.676485061645508,-4.944444444444445,546.5555555555555
11000,27,2200,1.7872226238250732,0.008951878175139427,-9.914081573486328,-4.947368421052632,553.8421052631579
11500,27,2300,1.7891641855239868,0.0009811610216274858,-0.13178420066833496,-4.95,562.65
12000,27,2400,1.7862484455108643,0.0003444247995503247,-2.208582639694214,-4.9523809523809526,558.6190476190476
12500,27,2500,1.7830976247787476,0.00011499210086185485,0.03131359815597534,-4.909090909090909,559.4545454545455
13000,27,2600,1.7847509384155273,0.0005493704811669886,-1.8764128684997559,-4.913043478260869,555.1304347826087
13500,27,2700,1.7721141576766968,0.4144385755062103,0.32503294944763184,-4.916666666666667,557.4583333333334
14000,27,2800,1.7796640396118164,0.002230273559689522,-1.9184141159057617,-4.916666666666667,557.4583333333334
14500,27,2900,1.7777493000030518,0.0006815240485593677,-9.43101692199707,-4.92,561.24
15000,27,3000,1.772225022315979,0.0020643335301429033,0.27531343698501587,-4.923076923076923,560.2692307692307
15500,27,3100,1.771112084388733,0.013217130675911903,-59.43422317504883,-4.925925925925926,557.6296296296297
16000,27,3200,1.783482313156128,0.00031484937062487006,-5.646310329437256,-4.928571428571429,555.8214285714286
16500,27,3300,1.7745401859283447,0.0024685547687113285,-7.486295700073242,-4.931034482758621,557.0689655172414
17000,27,3400,1.7840217351913452,0.00013904650404583663,-2.5973238945007324,-4.933333333333334,559.9666666666667
17500,27,3500,1.7395261526107788,0.0008104249718599021,0.06193774938583374,-4.935483870967742,557.7096774193549
