entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
2.0729895,0.034545787,1,1024,901.0,-5.0,0.034545787,1,3.506639242172241,-3.6354637145996094,0.0,0.0064713727
2.0644877,0.036698528,2,2048,652.6666666666666,-5.0,0.036698528,3,4.452716827392578,-0.4730921983718872,0.0,0.007388832
2.0593176,0.03892196,2,3072,572.0,-5.0,0.03892196,5,5.369745492935181,0.7235670983791351,0.0,0.0073504914
2.05765,0.04001941,2,4096,559.1428571428571,-5.0,0.04001941,7,6.269024610519409,0.6970169842243195,0.0,0.0073867
2.0505726,0.041435555,2,5120,557.1111111111111,-5.0,0.041435555,9,7.175036668777466,0.7259629964828491,0.0,0.0067272624
2.048314,0.04922521,1,6144,563.0,-5.0,0.04922521,10,8.059967994689941,0.5228560864925385,0.0,0.007374912
2.0400293,0.05618564,2,7168,572.75,-5.0,0.05618564,12,8.96867823600769,0.7823245525360107,0.0,0.008945648
2.0339093,0.048491698,2,8192,564.7857142857143,-4.928571428571429,0.048491698,14,9.899232625961304,0.6054651439189911,0.0,0.007722757
2.021662,0.04082076,2,9216,560.1875,-4.9375,0.04082076,16,10.802306652069092,0.8284177333116531,0.0,0.007075595
1.9975672,0.04702553,1,10240,559.4705882352941,-4.9411764705882355,0.04702553,17,11.68943452835083,0.6484630107879639,0.0,0.0088190185
1.9976928,0.044088773,2,11264,576.4736842105264,-4.947368421052632,0.044088773,19,12.5929856300354,0.7915245145559311,0.0,0.006894364
1.9981154,0.04689487,1,12288,583.95,-4.95,0.04689487,20,13.531254291534424,0.7726232260465622,0.0,0.0075326846
1.9879556,0.04573712,2,13312,592.5,-4.909090909090909,0.04573712,22,14.436050653457642,0.8099668920040131,0.0,0.007943855
1.9630235,0.054476637,2,14336,585.2083333333334,-4.916666666666667,0.054476637,24,15.37996768951416,0.818169355392456,0.0,0.008423805
1.9664904,0.042389482,2,15360,582.4615384615385,-4.923076923076923,0.042389482,26,16.32414484024048,0.8115795105695724,0.0,0.007721138
1.9945593,0.05087992,2,16384,577.25,-4.928571428571429,0.05087992,28,17.267629146575928,0.8035047203302383,0.0,0.008008967
1.949702,0.048361406,1,17408,581.0,-4.931034482758621,0.048361406,29,18.14607048034668,0.5922955274581909,0.0,0.0067366455
1.9352174,0.0478765,2,18432,587.4193548387096,-4.903225806451613,0.0478765,31,19.028319597244263,0.6592050790786743,0.0,0.008620644
1.9475178,0.042667605,2,19456,587.6666666666666,-4.909090909090909,0.042667605,33,19.93093776702881,0.7737438082695007,0.0,0.007336496
1.9306742,0.047649104,1,20480,594.1470588235294,-4.911764705882353,0.047649104,34,20.796921491622925,0.7566577047109604,0.0,0.008470705
1.9674221,0.038245175,2,21504,587.6666666666666,-4.916666666666667,0.038245175,36,21.699066162109375,0.7240034937858582,0.0,0.007484356
1.9525032,0.045975015,2,22528,583.9473684210526,-4.921052631578948,0.045975015,38,22.623636484146118,0.771670401096344,0.0,0.00736432
1.9104946,0.04986923,1,23552,584.7948717948718,-4.923076923076923,0.04986923,39,23.589465141296387,0.6774440109729767,0.0,0.008209794
1.9007049,0.05089571,2,24576,583.575,-4.875,0.05089571,41,24.465197801589966,0.8060550540685654,0.0,0.008481885
1.9154251,0.05287807,1,25600,588.9,-4.875,0.05287807,42,25.399444103240967,0.8237348198890686,0.0,0.0074607525
1.9001037,0.06497048,1,26624,602.45,-4.8,0.06497048,43,26.37337875366211,0.6141622066497803,0.0,0.007807465
1.9328601,0.04569278,2,27648,616.5,-4.8,0.04569278,45,27.374277114868164,0.816863015294075,0.0,0.008379217
1.9206524,0.053275198,1,28672,619.7,-4.775,0.053275198,46,28.361666917800903,0.7594102472066879,0.0,0.009281643
